Time,Hour,Open,High,Low,Close,100,300,Long,Short
2017-06-09 00:00,0,1.11889,1.11948,1.11793,1.11793,1.12469,,0,1
2017-06-09 01:00,1,1.11822,1.12011,1.11808,1.11808,1.1246,,0,1
2017-06-09 02:00,2,1.11993,1.12004,1.11905,1.11905,1.12451,,0,1
2017-06-09 03:00,3,1.11962,1.12064,1.11918,1.11918,1.12443,,0,1
2017-06-09 04:00,4,1.12002,1.12146,1.1199,1.1199,1.12436,,0,1
2017-06-09 05:00,5,1.12038,1.12135,1.12014,1.12014,1.12429,,0,1
2017-06-09 06:00,6,1.1204,1.12159,1.11865,1.11865,1.12421,,0,1
2017-06-09 07:00,7,1.11894,1.11991,1.11854,1.11854,1.12413,,0,1
2017-06-09 08:00,8,1.11901,1.11934,1.11698,1.11698,1.12404,,0,1
2017-06-09 09:00,9,1.11763,1.11873,1.1173,1.1173,1.12395,,0,1
2017-06-09 10:00,10,1.11733,1.11851,1.11733,1.11733,1.12386,,0,1
2017-06-09 11:00,11,1.11807,1.11833,1.1175,1.1175,1.12378,,0,1
2017-06-09 12:00,12,1.11798,1.11805,1.11671,1.11671,1.12368,,0,1
2017-06-09 13:00,13,1.1169,1.11814,1.11664,1.11664,1.12359,,0,1
2017-06-09 14:00,14,1.11745,1.11891,1.11743,1.11743,1.12352,,0,1
2017-06-09 15:00,15,1.11837,1.11928,1.11826,1.11826,1.12347,,0,1
2017-06-09 16:00,16,1.11894,1.12008,1.11873,1.11873,1.12342,,0,1
2017-06-09 17:00,17,1.1198,1.1204,1.11939,1.11939,1.12338,,0,1
2017-06-09 18:00,18,1.11945,1.11992,1.11911,1.11911,1.12332,,0,1
2017-06-09 19:00,19,1.11962,1.11996,1.11925,1.11925,1.12327,,0,1
2017-06-09 20:00,20,1.1195,1.11978,1.1194,1.1194,1.12322,,0,1
2017-06-09 21:00,21,1.11959,1.11959,1.11959,1.11959,1.12316,,0,1
2017-06-11 21:00,21,1.12087,1.12087,1.12049,1.12049,1.12311,,0,1
2017-06-11 22:00,22,1.12052,1.12095,1.12026,1.12026,1.12306,,0,1
2017-06-11 23:00,23,1.12042,1.12059,1.11973,1.11973,1.12301,,0,1
2017-06-12 00:00,0,1.12018,1.1208,1.11994,1.11994,1.12295,,0,1
2017-06-12 01:00,1,1.12052,1.12077,1.11978,1.11978,1.1229,,0,1
2017-06-12 02:00,2,1.1198,1.12118,1.1198,1.1198,1.12284,,0,1
2017-06-12 03:00,3,1.12105,1.12105,1.12041,1.12041,1.12278,,0,1
2017-06-12 04:00,4,1.1207,1.12085,1.12023,1.12023,1.12272,,0,1
2017-06-12 05:00,5,1.12067,1.12167,1.12065,1.12065,1.12266,,0,1
2017-06-12 06:00,6,1.12123,1.12165,1.12089,1.12089,1.1226,,0,1
2017-06-12 07:00,7,1.12113,1.12237,1.12044,1.12044,1.12254,,0,1
2017-06-12 08:00,8,1.12214,1.12276,1.12152,1.12152,1.12249,,0,1
2017-06-12 09:00,9,1.12257,1.12262,1.12159,1.12159,1.12244,,0,1
2017-06-12 10:00,10,1.12169,1.12264,1.12081,1.12081,1.12241,,0,1
2017-06-12 11:00,11,1.12167,1.1232,1.12144,1.12144,1.12237,,0,1
